500 1000
414 235 -47
400 117 16
323 32 -12
310 194 10
191 337 -41
379 306 -23
285 333 -18
272 198 -46
225 270 9
163 132 -45
57 258 27
329 351 -20
185 143 -16
436 190 11
377 270 6
26 117 -22
496 66 -19
25 327 -44
269 127 -36
374 390 42
212 439 18
451 336 10
401 149 6
381 384 -32
272 303 40
27 106 9
461 393 8
231 96 -45
251 473 -43
434 130 -47
252 229 11
222 366 25
116 170 45
213 170 14
454 345 -29
415 231 32
65 472 29
192 91 -4
243 147 47
77 332 4
312 436 50
461 292 -7
413 360 43
403 359 6
130 148 50
68 111 16
323 232 4
80 219 -15
350 189 27
194 37 -36
401 496 35
438 156 40
294 349 -46
451 68 16
427 49 -29
368 79 32
230 288 32
346 398 7
364 335 50
214 420 48
193 424 -41
275 139 -18
36 246 50
471 284 25
479 53 -7
317 194 -40
161 275 17
182 304 15
201 36 -32
329 464 28
490 437 16
233 205 26
150 356 -3
494 58 37
11 438 6
144 236 -18
103 215 -30
302 82 -45
379 323 33
303 0 35
249 1 -29
451 480 -22
228 442 25
252 339 -49
224 330 17
490 164 -44
104 234 -34
412 231 49
253 124 16
53 485 37
437 352 43
292 496 14
454 160 -25
339 8 -48
473 60 -48
215 334 -32
321 430 10
311 120 -32
23 221 44
245 353 -32
443 53 20
200 111 -35
347 294 8
433 350 2
19 470 23
64 470 -6
422 34 -42
277 442 36
294 327 48
249 82 3
426 45 6
433 346 -21
320 362 30
294 402 22
189 473 37
281 303 -19
361 3 19
152 382 -31
393 120 -14
188 157 -45
326 405 -20
108 63 -8
396 250 13
423 160 35
229 214 21
161 403 34
417 192 -42
148 140 13
54 37 -14
135 183 47
406 310 3
90 161 -43
493 206 -34
387 240 18
422 215 -34
418 229 9
213 487 42
385 38 -36
246 391 3
385 498 -38
130 433 -34
217 432 45
416 249 29
392 90 23
341 146 -32
223 343 21
97 231 23
39 90 -35
29 256 -15
177 451 -38
167 79 -23
242 207 2
120 341 -19
37 197 -14
227 92 17
162 375 35
467 287 39
219 209 37
450 222 -16
471 126 -16
278 294 -2
201 138 -6
334 245 46
224 452 -14
470 228 -36
8 344 -28
155 368 -25
248 212 -26
300 60 -36
328 79 -34
185 321 25
73 341 -19
147 190 3
203 480 -14
222 183 -25
254 180 38
335 197 -17
496 107 23
98 85 15
394 421 22
462 104 -38
20 407 -26
459 315 -30
311 431 8
135 199 -35
109 70 -31
41 137 45
131 255 13
260 129 17
0 54 29
150 367 22
105 277 -22
491 423 -6
420 371 26
13 251 -47
74 455 6
46 104 7
37 427 -37
215 16 0
64 467 -31
226 414 -37
499 323 17
132 492 5
334 15 -39
323 493 -3
213 411 29
383 157 27
416 173 -43
366 370 -40
244 36 43
108 44 11
281 35 31
480 155 50
220 451 -50
471 195 17
459 191 -11
164 87 -3
330 175 -23
294 450 22
426 48 0
262 434 16
468 368 1
62 304 -1
119 204 41
15 45 -29
89 301 -15
132 273 16
122 497 -6
95 6 -1
206 174 -12
69 201 49
14 116 -5
169 99 18
233 93 40
31 125 29
175 84 43
443 295 0
419 338 19
144 247 -26
477 287 9
95 260 19
402 138 1
108 412 31
188 445 7
119 209 -28
227 275 -11
405 227 -47
413 242 39
332 150 -9
382 318 34
214 432 32
97 439 37
180 95 28
297 152 -34
212 480 -31
220 137 34
325 24 -10
248 4 -23
292 170 19
47 426 5
197 227 -33
158 13 -23
340 135 -35
175 86 6
64 452 -24
479 25 -22
61 125 49
402 120 27
404 75 -3
169 272 -35
153 345 29
151 143 -42
94 390 -20
408 84 -41
480 274 8
340 5 17
438 239 17
156 283 20
55 323 -30
102 286 49
5 25 14
310 166 24
279 411 40
318 165 -7
272 337 -10
344 348 15
199 324 -28
85 107 -37
27 396 -42
326 110 -34
266 198 23
453 61 -26
292 9 -32
151 453 0
262 458 -1
308 394 40
323 482 23
45 399 46
410 280 47
483 414 12
238 134 -37
122 81 15
426 107 -29
414 373 30
169 129 -4
306 321 20
187 34 -18
42 474 -27
313 266 -8
163 250 45
238 371 -42
107 158 -45
380 152 -7
221 232 -18
263 439 5
45 411 -29
273 163 -49
461 243 23
62 153 36
36 44 0
242 480 -2
214 209 -7
160 250 -46
377 222 -1
466 168 38
79 57 -46
112 436 -15
228 94 29
499 141 49
440 67 -7
342 487 32
209 54 -20
411 187 -37
353 471 33
358 342 -32
453 329 37
117 142 -36
35 324 -34
179 494 44
47 6 49
321 232 36
51 198 -25
415 33 -31
363 95 17
413 126 -9
4 113 48
163 98 27
293 187 -12
7 261 -19
227 344 -10
348 461 -29
493 143 23
107 358 11
230 184 -46
181 69 -36
494 392 -27
88 78 23
369 114 23
294 483 1
94 492 -50
96 356 -50
316 189 10
493 187 -14
405 349 45
54 197 -47
17 437 50
12 186 9
57 173 24
273 473 -33
261 273 -29
344 190 -1
141 415 46
305 6 -39
113 487 0
158 18 -2
80 428 47
338 306 -29
323 488 -44
98 207 -41
289 71 -30
438 486 1
207 493 40
234 463 -21
350 412 -49
268 235 46
288 337 -19
327 142 9
217 143 -16
436 201 28
269 388 -17
172 265 -36
54 30 -19
450 392 -11
148 323 0
94 136 -47
317 268 1
347 346 -44
366 352 11
9 97 -36
14 226 -19
194 105 -38
199 341 49
4 202 -16
158 363 -13
449 109 36
259 246 31
438 76 -10
361 110 38
76 27 15
473 499 -23
95 329 8
212 336 -37
6 317 0
412 464 49
312 353 -37
61 207 21
271 314 50
79 179 7
229 351 -17
224 420 -22
236 231 48
497 479 7
483 97 -25
298 254 9
472 228 0
245 43 -38
272 434 13
350 246 -20
281 32 42
361 473 26
2 220 -27
200 424 28
299 369 -4
360 359 -34
49 177 -17
174 99 -47
293 51 42
296 195 -39
51 215 42
76 479 -46
346 286 -14
355 155 -5
319 375 -32
85 33 10
493 14 -8
269 277 13
156 418 42
399 298 -50
434 21 -12
45 406 16
448 261 -25
288 2 -24
189 431 38
429 237 50
375 137 18
3 305 26
477 454 -42
227 220 38
346 237 -42
164 207 -43
56 291 42
232 207 11
120 392 -26
338 447 17
22 89 -35
233 460 -38
231 159 -42
342 496 42
108 141 -6
62 200 -50
451 240 0
418 341 -7
440 222 20
80 463 32
158 441 27
108 266 35
140 214 -5
139 321 -4
306 119 26
249 27 -12
219 159 -28
161 141 48
268 185 -48
162 16 48
450 206 -29
318 462 -9
56 133 45
45 246 -21
382 15 -48
166 176 46
313 106 -40
144 104 -26
356 265 -24
86 481 -38
407 432 -31
303 167 -41
162 143 -31
169 387 17
368 344 20
206 100 41
87 3 23
344 363 13
204 144 47
86 60 39
462 274 44
144 394 -26
391 403 -37
80 218 -10
211 242 3
427 227 -23
439 11 18
299 341 -43
310 7 14
257 135 -34
445 222 -15
181 172 17
104 92 20
118 433 23
450 211 25
270 384 -19
481 395 -8
169 405 31
318 422 29
206 176 -25
291 467 27
203 480 -38
305 472 -16
297 485 -15
316 4 17
313 294 -19
133 302 -47
301 403 -16
214 317 37
108 246 39
437 324 2
158 291 -25
193 186 -26
51 356 -33
157 226 -30
89 33 44
260 393 -33
468 480 -6
298 402 -40
80 490 -13
74 9 13
236 54 48
364 36 45
165 26 -21
32 28 38
1 205 -6
376 63 37
235 474 30
305 336 44
328 419 27
268 135 -50
454 350 -8
223 342 -12
409 183 -1
218 307 16
189 225 -30
30 185 -38
367 348 -16
159 117 20
352 344 35
241 3 19
53 119 -39
180 309 49
174 51 -47
265 57 1
309 365 -29
319 423 5
462 25 -36
104 8 41
145 465 11
309 451 -14
174 40 37
419 332 -13
271 94 -47
304 211 -45
270 34 23
444 420 -50
427 456 36
338 301 -49
55 198 46
8 475 43
429 370 -13
14 50 21
351 82 -17
161 169 -27
225 382 30
376 133 19
209 478 -47
169 63 29
352 224 -46
86 258 24
436 357 -29
427 208 36
243 206 -3
493 412 -2
300 63 -10
132 250 33
228 289 46
339 377 11
455 179 26
187 59 -12
433 488 16
319 32 48
470 4 -50
15 396 13
88 343 -30
134 94 31
292 225 -23
469 186 -50
457 180 -21
236 492 43
292 149 -30
283 497 21
231 61 31
254 64 42
411 162 40
186 451 -33
425 177 16
95 127 12
133 51 -25
440 99 17
224 253 -45
239 257 43
261 226 -27
454 26 -31
242 91 -14
327 218 47
451 28 2
64 455 35
69 473 -44
319 312 -36
28 150 -15
172 351 19
53 218 41
384 181 1
470 328 -15
457 400 -16
281 232 34
283 364 -8
471 86 14
32 485 -28
55 145 -22
42 114 43
439 490 37
319 4 25
168 4 -45
366 297 -9
497 205 30
300 197 -26
113 77 -14
470 151 28
365 288 -2
201 22 21
13 56 -16
391 65 35
312 231 -18
90 217 50
410 392 49
89 131 -8
74 321 14
443 250 17
348 267 -15
177 490 15
209 38 -38
4 402 -18
497 429 -18
324 343 -18
45 223 3
76 120 -15
367 5 -48
325 476 -22
12 41 -4
377 210 22
169 286 -45
94 295 8
236 16 0
279 59 -43
88 223 -47
425 304 -16
325 237 33
3 75 -34
118 445 6
151 120 26
416 120 15
128 118 -22
291 479 -17
251 63 -34
326 170 -38
247 322 24
90 336 -8
91 247 39
355 484 -34
21 399 38
55 154 2
57 472 -49
489 410 -10
256 271 36
227 50 -19
68 311 -29
239 371 -28
310 129 -39
242 429 37
383 186 3
170 104 28
87 83 -16
200 469 -23
475 493 39
333 396 -23
304 440 50
5 163 5
438 93 22
196 488 16
199 183 9
275 424 1
165 364 -4
305 102 -32
348 115 20
124 476 -12
251 487 -12
357 372 -13
21 159 -17
381 240 47
302 2 41
367 359 -37
404 53 -46
126 446 -33
416 96 -26
179 265 33
369 360 25
387 313 -48
173 147 22
184 14 -25
203 232 -23
444 262 17
25 16 30
4 450 1
295 146 9
396 416 4
183 456 -15
463 175 30
470 433 46
175 351 5
279 191 11
296 250 10
287 223 48
112 55 -15
418 286 44
65 46 -30
143 454 0
279 465 37
141 182 -47
315 356 10
212 151 -45
476 304 17
489 21 20
158 100 39
243 269 21
152 173 9
238 250 -45
196 384 -3
374 309 13
212 430 47
448 10 4
114 464 22
308 40 11
364 474 1
253 47 -47
380 108 32
424 444 11
407 230 -1
239 332 32
80 253 -30
291 313 38
251 117 19
174 27 49
76 493 -15
124 271 7
124 297 -34
211 462 -14
455 430 26
185 153 18
143 21 19
168 417 -4
146 121 -43
319 32 24
264 381 -12
81 318 -39
90 118 -24
374 372 -8
112 4 -2
87 415 -50
112 106 49
90 464 -34
415 133 12
237 451 -43
364 103 33
331 287 -25
230 408 34
147 353 21
350 154 18
85 434 -26
33 121 -19
454 157 -2
387 430 17
340 206 4
243 0 24
26 359 5
355 27 -11
88 388 -45
197 453 32
383 468 -33
255 373 -15
417 454 -34
338 208 -35
258 46 -19
268 392 -15
280 56 49
240 461 -25
95 101 -11
470 53 -8
454 337 -41
469 16 27
143 136 7
283 366 30
102 327 -39
212 386 50
263 186 -16
454 410 -23
435 250 -9
205 300 -31
213 395 -10
475 187 -14
361 27 26
216 375 -23
304 111 28
316 294 44
137 460 -49
436 420 17
148 152 -18
255 44 -23
242 265 -2
330 66 -6
314 96 7
462 402 45
282 185 19
269 141 -14
3 220 39
60 449 47
24 198 -18
199 477 41
137 130 20
356 195 32
0 261 -37
153 143 -45
381 157 -14
216 439 45
445 229 12
150 368 47
335 200 13
361 3 -15
265 262 -27
100 483 -16
104 381 5
278 367 -41
29 399 -2
373 466 11
226 194 -28
449 161 -22
240 46 4
175 62 -20
27 211 -25
234 398 47
132 92 -45
123 204 -41
