500 1000
300 214 13
428 83 50
485 55 11
293 62 26
227 131 14
497 317 9
130 240 6
188 430 15
166 290 23
414 202 5
69 166 34
207 131 25
59 30 37
92 327 35
276 170 12
190 326 47
132 80 6
142 138 44
8 477 21
61 442 37
132 483 18
143 136 36
466 79 7
13 440 20
403 31 17
350 283 14
246 464 17
52 261 30
6 365 9
474 128 12
49 469 2
140 265 18
128 324 33
27 207 38
171 189 0
275 64 36
150 188 27
218 63 46
129 451 47
337 85 5
298 492 48
399 99 43
65 118 15
286 56 18
81 441 4
169 487 46
376 481 34
100 431 32
113 490 17
51 415 46
227 106 40
192 182 23
164 264 6
361 199 0
172 476 29
184 265 44
220 363 23
134 11 35
122 399 48
372 111 3
376 170 41
468 66 24
50 339 18
129 36 14
299 433 23
454 32 38
238 86 40
96 404 3
401 342 27
106 16 46
144 198 29
342 120 15
168 332 45
286 453 26
492 445 38
355 224 9
181 281 13
332 75 28
230 101 49
387 367 50
257 339 27
434 260 41
270 150 23
335 440 38
126 329 24
41 103 33
163 101 27
285 421 12
273 130 50
104 312 7
366 187 25
333 39 8
368 463 49
429 390 11
39 169 40
393 459 25
443 250 47
144 314 43
267 394 39
63 27 5
343 33 39
65 438 22
119 282 31
131 496 10
30 283 39
262 345 25
313 469 11
287 325 30
467 108 26
336 468 26
87 432 42
400 8 23
298 324 9
341 168 10
259 165 41
26 221 49
33 48 22
267 337 31
52 461 11
170 278 10
60 44 5
334 274 4
194 63 46
442 472 23
313 33 19
166 357 46
11 174 20
282 235 37
287 152 35
130 183 11
94 395 34
461 313 49
60 357 17
375 22 31
103 157 50
169 463 4
312 111 12
458 229 9
401 262 5
31 433 49
476 4 3
1 460 43
323 367 31
196 305 40
131 221 35
445 122 28
254 303 49
469 219 28
43 164 8
360 346 24
206 276 6
162 259 42
378 165 2
0 305 46
473 430 47
257 433 33
165 215 7
380 30 31
125 452 24
110 156 49
20 279 45
75 436 35
441 294 13
317 61 49
398 480 32
328 73 5
244 412 30
102 248 32
290 468 44
408 118 0
368 206 43
400 207 50
85 465 1
318 481 14
465 155 41
48 113 4
249 375 28
154 467 16
202 52 48
101 96 9
152 352 49
304 421 36
262 409 17
297 457 19
457 388 19
244 170 38
236 440 25
318 394 27
58 211 35
202 357 16
417 189 21
295 27 49
373 36 49
17 238 23
76 272 41
361 474 11
11 287 8
174 50 32
8 411 20
428 178 43
366 325 21
427 41 18
288 292 8
390 28 5
10 459 47
86 233 37
265 266 10
85 107 2
7 263 15
395 292 3
385 135 14
442 216 15
427 375 41
134 415 42
20 385 41
499 345 44
356 237 32
178 173 2
246 275 38
262 262 19
251 149 27
292 294 4
451 316 37
399 213 46
427 69 35
430 251 4
384 385 50
202 90 13
19 286 49
90 46 22
233 376 6
408 237 6
241 379 19
477 27 29
100 492 13
320 458 5
336 109 16
171 409 13
122 156 40
395 488 41
316 370 25
211 469 7
250 186 44
14 340 21
241 260 9
418 112 50
137 330 43
284 327 46
97 265 12
263 482 32
82 84 33
222 345 23
415 230 35
319 134 19
296 164 14
483 63 19
285 325 17
324 104 5
63 60 8
232 383 17
458 24 47
229 420 39
361 270 50
410 305 41
476 212 40
483 1 15
140 410 26
261 128 28
329 487 40
208 0 28
233 170 29
355 15 45
118 12 2
276 430 6
332 142 35
302 495 29
425 114 7
173 116 45
110 295 45
403 241 21
347 293 13
76 367 35
296 221 33
137 28 28
365 149 41
32 108 0
431 207 33
254 258 42
295 174 4
392 244 33
388 122 1
88 402 48
109 395 3
128 111 26
40 110 28
224 132 28
378 409 28
339 182 27
338 278 39
324 24 28
413 36 6
323 90 19
425 93 1
311 118 26
410 408 32
123 83 23
262 192 31
195 331 1
161 145 50
282 284 35
65 153 45
373 364 11
60 104 22
363 311 33
220 439 40
135 255 40
309 155 30
498 305 34
103 212 21
39 470 20
375 23 26
35 324 12
3 216 8
230 268 28
262 300 3
337 489 32
418 103 46
94 269 38
165 226 17
84 341 8
462 240 38
134 400 16
210 325 36
226 461 19
91 495 21
411 409 39
37 389 0
162 490 30
322 278 49
404 80 22
147 368 40
342 227 41
252 307 26
126 302 50
23 67 13
488 429 21
240 40 25
260 78 11
179 237 27
396 98 14
435 221 30
200 447 23
329 81 42
80 58 33
429 337 14
381 380 31
265 396 15
427 499 45
442 137 38
351 433 20
474 127 12
285 320 18
437 27 30
447 250 29
358 392 33
19 17 14
158 421 18
228 197 39
80 150 32
260 134 6
204 319 22
404 381 34
386 149 47
445 360 30
435 47 49
400 40 49
412 236 23
191 320 20
155 446 1
91 472 8
350 189 14
484 343 47
352 100 37
42 168 49
139 289 42
387 430 17
279 305 32
330 287 48
233 241 50
240 384 11
190 20 28
127 128 41
64 46 40
99 32 4
300 238 7
57 267 34
239 186 0
359 52 24
253 135 42
127 17 33
421 314 21
178 430 11
303 485 19
222 238 25
318 131 46
343 136 38
354 392 15
293 33 2
228 343 24
236 235 0
36 362 8
224 50 23
204 400 14
154 62 38
370 472 40
69 83 49
251 235 14
116 2 50
461 185 34
284 363 39
25 111 50
353 237 27
224 368 15
241 114 10
493 421 19
304 335 28
15 482 42
66 424 7
248 462 9
454 451 35
327 89 18
240 410 0
305 125 37
371 340 4
415 192 4
60 85 33
228 88 4
266 346 45
408 308 0
380 480 34
67 464 3
484 272 11
401 131 4
130 266 1
201 36 4
23 140 11
415 451 19
119 280 46
182 147 33
402 305 15
63 81 22
195 425 36
62 482 7
28 8 26
359 280 38
469 389 11
11 126 47
111 78 21
486 177 15
226 29 18
89 41 12
252 276 42
321 225 27
52 335 13
290 83 3
182 160 14
104 297 6
405 37 2
269 478 29
307 109 23
197 454 21
477 459 37
472 425 5
42 233 12
414 211 33
351 13 13
74 436 12
296 202 24
168 332 6
83 314 10
228 137 0
467 79 41
395 268 6
440 193 19
111 379 12
429 210 34
103 445 0
255 308 49
406 368 7
399 47 23
258 316 45
261 460 8
101 373 2
301 324 13
491 338 45
390 329 16
371 380 15
260 74 28
18 44 9
4 273 40
327 383 12
491 172 34
468 223 35
17 100 40
48 420 28
418 32 47
201 282 46
147 287 21
143 373 23
