50 100
12 41 1
6 42 12
19 9 -16
40 20 3
30 21 -14
3 18 13
46 44 4
25 22 6
41 43 4
7 33 2
13 7 -16
14 42 -10
46 15 -13
5 23 16
9 11 -11
17 25 -16
15 43 6
11 16 7
12 31 -10
5 0 6
2 28 2
35 49 14
16 17 -3
4 16 10
42 26 18
23 9 9
9 8 17
0 42 13
43 31 2
0 9 5
14 4 -12
12 6 1
12 19 -3
38 31 -7
19 37 19
16 23 6
25 47 11
26 30 14
36 46 10
34 8 -4
47 16 -4
9 40 10
11 49 -10
22 49 10
10 9 4
17 39 -16
7 38 1
14 1 9
33 17 7
44 2 4
16 43 20
46 30 16
13 30 13
18 23 -14
44 34 -11
6 21 -13
23 20 -5
28 43 17
16 34 19
26 47 15
9 46 -19
43 25 13
31 31 18
29 19 -12
7 15 0
18 0 -11
10 13 -7
25 30 18
13 24 8
38 34 13
35 5 6
15 17 16
3 14 -13
18 25 2
25 29 17
17 34 -4
17 14 3
14 33 1
20 47 -15
46 6 3
29 8 20
40 4 20
19 18 20
23 4 -14
28 5 2
5 19 20
8 35 -9
40 24 7
18 30 14
29 47 10
7 14 -8
43 16 17
28 18 14
4 33 -9
7 31 12
18 28 -11
4 4 -8
41 43 -8
41 24 19
31 22 -18
