50 100
4 2 18
15 21 4
34 39 20
9 32 15
1 42 5
6 31 7
3 37 5
19 41 12
24 40 13
46 17 18
44 5 11
13 45 10
1 14 14
34 41 2
8 42 19
36 1 12
36 33 19
6 47 3
31 12 0
46 35 1
17 2 20
18 8 20
49 47 10
2 48 6
0 15 8
17 7 17
1 25 2
38 7 7
7 5 16
49 3 1
12 35 5
26 14 17
31 31 0
6 19 9
9 15 13
41 5 11
24 24 14
4 27 18
42 45 13
42 16 5
43 38 3
14 20 18
27 9 10
27 15 18
24 43 15
42 4 17
48 44 9
8 46 17
38 42 12
33 14 6
13 49 11
46 3 8
2 46 11
42 18 20
46 47 20
16 37 11
36 19 19
6 41 12
37 1 17
12 46 2
25 32 4
44 25 13
46 30 8
46 43 20
20 3 16
1 5 7
7 0 11
44 47 19
11 32 8
21 49 1
41 36 4
11 28 2
37 34 12
7 36 15
35 29 15
22 31 0
23 45 11
47 5 12
6 38 14
5 48 10
37 24 2
33 5 2
9 48 15
46 26 14
35 15 20
2 15 9
49 20 2
15 1 16
6 25 5
30 40 0
46 10 13
44 40 7
22 2 10
1 3 13
27 27 20
17 10 5
31 0 14
35 45 1
28 1 1
44 40 10
